jacLR		12548	20572	13246	13332	13295	13008	12928	13305	14898	15500	14554	14482	13806	14733	13957	13254	13140	14883
blackscholes	93		173	92	69	45	85	84	69	108	69	97	76	104	68	80	84	79	128
stream_d0	13805	6789	13086	7369	7430	7432	7057	7150	7397	8557	9264	8173	8323	7847	8362	7899	7427	7296	8339
ep.A.g	10867	10148	10829	10417	10522	10529	10399	10499	10519	10572	10704	10586	10720	10537	10578	10665	10297	10309	10517
2mm_STANDARD	15584	10608	15201	11049		11207	11061	11186	11195	12195	12549	11613	11672	11252	11864	11246	11142	10994	11650
3mm_STANDARD	23139	15658	22516	16252	16272		16192	16237	16227	17552	18308	17067	16972	16261	17288	16362	16138	15963	17049
cholesky_STANDARD	7397	6131	7018	6260	6319	6282		6263	6312	6485	6516	6362	6410	6304	6383	6313	6150	6157	6257
doitgen_STANDARD	15453	13948	15252	14712	14557	14638	14511		14529	14736	14785	14713	14839	14633	14763	14576	14486	14464	14548
gemm_STANDARD	19771	13704	21430	14224	14242	14360	14196	14305		15340	15926	14863	14845	14332	15021	14277	14063	14019	15039
gemver_STANDARD	11419	8268	10533	8561	8616	8592	8592	8597	8568		9080	8897	8859	8811	8757	8782	8411	8519	9008
gesummv_STANDARD	11681	6877	10043	7248	7330	7340	7140	7226	7341	7713		7455	7430	7312	7415	7322	6987	7122	7674
mvt_STANDARD	13561	10430	12553	10705	10689	10878	10656	10791	10904	11211	11089		11020	10816	11018	10808	11022	10645	11059
syr2k_STANDARD	24971	14669	22701	15869	15714	15760	15623	15516	15610	16678	16375	16101	16124	16032	15980	15901	15305	15169	16165
syrk_STANDARD	30856	14428	29576	15113	15164	15210	15490	15078	15193	16612	16426	15800	16786	16598	15682	16068	14871	14827	16226
trisolv_STANDARD	9077	7523	8520	7932	7896	7874	7902	7942	7904	8020	7985	8017	8009	7961		7917	7972	7769	7883
trmm_STANDARD	28351	13715	26564	14915	13860	13891	13831	13833	13912	15079	14996	14313	14915	14585	14252	14867	13689	13519	14788
durbin_STANDARD	8282	6094	7467	6497	6500	6499	6359	6431	6479	6646	6601	6613	6637	6481	6569	6490	6200	6319	6408
gramschmidt_STANDARD	14675	12415	14399	13039	13063	13130	13006	13128	13149	13243	13305	13229	13300	13149	13278	13115	12972	12804	12924
ft.A	4553	2953	4581	3183	3152	3151	3166	3157	3188	3443	3462	3330	3357	3273	3296	3244	3141	3085	
