PID 	$CMD 	$TIME 	$IPC 	$MEM_INT 	$L1 BW 	$L2 BW 	$L3 BW 	$L2 REUSE 	$L3 REUSE 	$GANG    
28066 	$./bin/uniform/ft.A 	$3067 	$1.158006 	$17151094.000000 	$18.524839 	$3.273480 	$1.604790 	$     5.66 	$     2.04 	$ 1 	$ 3   
28093 	$./bin/uniform/ft.A 	$3048 	$1.168941 	$17234214.000000 	$18.807686 	$3.283927 	$1.618630 	$     5.73 	$     2.03 	$ 1 	$ 3   
28098 	$./bin/uniform/ft.A 	$3056 	$0.000000 	$-nan 	$0.000000 	$0.000000 	$0.000000 	$     0.00 	$     0.00 	$ 1 	$ 3   
28070 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$14869 	$1.671575 	$533670.500000 	$104.624694 	$0.344786 	$0.282540 	$   319.71 	$     1.28 	$ 2 	$ 18   
28103 	$./bin/uniform/ft.A 	$3024 	$1.777867 	$8595121.500000 	$16.406790 	$2.119793 	$1.075976 	$     9.91 	$     1.93 	$ 1 	$ 4   
28072 	$./bin/uniform/syr2k_STANDARD dummy.out 20 	$15620 	$1.984777 	$2319602.631579 	$21.779402 	$19.973017 	$2.772952 	$     1.09 	$     7.00 	$ 2 	$ 21   
28110 	$./bin/uniform/ft.A 	$4236 	$1.524921 	$26346085.000000 	$34.540055 	$5.797659 	$2.928284 	$     5.77 	$     1.97 	$ 1 	$ 4   
28126 	$./bin/uniform/ft.A 	$3330 	$1.333924 	$30308756.000000 	$30.371472 	$7.553453 	$3.039809 	$     3.94 	$     2.36 	$ 1 	$ 4   
28131 	$./bin/uniform/ft.A 	$3204 	$1.395758 	$-nan 	$31.947089 	$5.852244 	$3.190794 	$     5.26 	$     1.79 	$ 1 	$ 4   
28108 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$14807 	$1.669290 	$500192.500000 	$110.998642 	$0.419220 	$0.300666 	$   270.46 	$     1.50 	$ 2 	$ 20   
28115 	$./bin/uniform/syr2k_STANDARD dummy.out 20 	$15499 	$1.995628 	$2541693.277778 	$23.253174 	$21.771165 	$3.103995 	$     1.07 	$     6.95 	$ 2 	$ 20   
28136 	$./bin/uniform/ft.A 	$3168 	$1.413362 	$-nan 	$22.080210 	$3.733626 	$2.020604 	$     5.91 	$     1.92 	$ 1 	$ 6   
28151 	$./bin/uniform/ft.A 	$3256 	$0.000000 	$0.000000 	$0.000000 	$  -nan 	$0.000000 	$     0.00 	$     0.00 	$ 1 	$ 4   
28156 	$./bin/uniform/ft.A 	$5905 	$1.624802 	$-nan 	$23.077482 	$4.976390 	$2.141690 	$     4.68 	$     2.46 	$ 1 	$ 5   
28138 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$14840 	$0.000000 	$0.000000 	$0.000000 	$  -nan 	$0.000000 	$     0.00 	$     0.00 	$ 2 	$ 19   
28166 	$./bin/uniform/ft.A 	$3198 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$     0.00 	$     0.00 	$ 1 	$ 5   
28146 	$./bin/uniform/syr2k_STANDARD dummy.out 20 	$15568 	$0.000000 	$0.000000 	$0.000000 	$  -nan 	$0.000000 	$     0.00 	$     0.00 	$ 2 	$ 21   
28177 	$./bin/uniform/ft.A 	$3153 	$0.000000 	$0.000000 	$0.000000 	$  -nan 	$0.000000 	$     0.00 	$     0.00 	$ 1 	$ 4   
28187 	$./bin/uniform/ft.A 	$3204 	$1.435755 	$31556023.000000 	$32.831702 	$5.665841 	$3.166102 	$     5.58 	$     1.76 	$ 1 	$ 4   
28172 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$14763 	$1.674746 	$505193.588235 	$105.337061 	$0.336115 	$0.278888 	$   343.46 	$     1.18 	$ 2 	$ 19   
28192 	$./bin/uniform/ft.A 	$3189 	$0.980423 	$-nan 	$22.365457 	$4.328528 	$2.521089 	$     4.22 	$     1.56 	$ 1 	$ 5   
28179 	$./bin/uniform/syr2k_STANDARD dummy.out 20 	$15540 	$1.993130 	$2499510.277778 	$22.193569 	$20.429418 	$2.837708 	$     1.09 	$     6.99 	$ 2 	$ 20   
28202 	$./bin/uniform/ft.A 	$3254 	$1.179999 	$23889970.000000 	$24.118252 	$5.950981 	$2.320962 	$     3.94 	$     2.54 	$ 1 	$ 5   
28212 	$./bin/uniform/ft.A 	$3207 	$1.377508 	$30106128.000000 	$31.685959 	$7.794841 	$3.059304 	$     4.03 	$     2.43 	$ 1 	$ 4   
28197 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$14859 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$     0.00 	$     0.00 	$ 2 	$ 19   
28217 	$./bin/uniform/ft.A 	$3122 	$1.030903 	$17229484.666667 	$23.342195 	$5.139628 	$2.350739 	$     3.81 	$     1.98 	$ 1 	$ 5   
28204 	$./bin/uniform/syr2k_STANDARD dummy.out 20 	$19186 	$1.872017 	$2194488.000000 	$20.842472 	$19.286479 	$2.487227 	$     1.06 	$     7.53 	$ 2 	$ 22   
28068 	$./bin/blackscholes 4 bin/in_10M.txt bsdummy 	$82706 	$-nan 	$237734.047170 	$1.154418 	$1.800277 	$0.326042 	$     0.72 	$   132.69 	$ 1 	$ 108   
28233 	$./bin/uniform/ft.A 	$3509 	$1.687263 	$24318679.500000 	$23.461734 	$3.856314 	$2.081241 	$     6.09 	$     1.85 	$ 1 	$ 4   
28228 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$8019 	$1.671074 	$530973.166667 	$108.733191 	$0.351341 	$0.279302 	$   335.49 	$     1.23 	$ 2 	$ 8   
28248 	$./bin/uniform/syr2k_STANDARD dummy.out 20 	$3821403728 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$     0.00 	$     0.00 	$ 2 	$ 1   
