#cores	gang	pos	print	time	command
5	1	1	0	0	./bin/uniform/doitgen_STANDARD ./results/doitgen_STANDARD.out 100
5	1	2	0	0	./bin/uniform/doitgen_STANDARD ./results/doitgen_STANDARD.out 100
5	2	1	0	0	./bin/uniform/doitgen_STANDARD ./results/doitgen_STANDARD.out 100
5	2	2	0	0	./bin/uniform/doitgen_STANDARD ./results/doitgen_STANDARD.out 100
5	3	1	0	0	./bin/uniform/doitgen_STANDARD ./results/doitgen_STANDARD.out 100
5	3	2	0	0	./bin/uniform/doitgen_STANDARD ./results/doitgen_STANDARD.out 100
5	4	1	0	0	./bin/uniform/doitgen_STANDARD ./results/doitgen_STANDARD.out 100
5	4	2	0	0	./bin/uniform/doitgen_STANDARD ./results/doitgen_STANDARD.out 100
