PID 	$CMD 	$TIME 	$IPC 	$MEM_INT 	$L1 BW 	$L2 BW 	$L3 BW 	$L2 REUSE 	$L3 REUSE 	$GANG    
12701 	$./bin/uniform/ft.A 	$3020 	$1.178587 	$17467908.000000 	$19.434124 	$3.379404 	$1.655776 	$     5.75 	$     2.04 	$ 1 	$ 3   
12728 	$./bin/uniform/ft.A 	$3015 	$1.194127 	$17404108.000000 	$19.792742 	$3.332491 	$1.659995 	$     5.94 	$     2.01 	$ 1 	$ 3   
12733 	$./bin/uniform/ft.A 	$3025 	$0.000000 	$-nan 	$0.000000 	$0.000000 	$0.000000 	$     0.00 	$     0.00 	$ 1 	$ 3   
12705 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$14811 	$1.672648 	$522966.875000 	$104.733077 	$0.347100 	$0.282646 	$   323.43 	$     1.23 	$ 2 	$ 18   
12738 	$./bin/uniform/ft.A 	$3045 	$1.738774 	$8744587.000000 	$11.911865 	$1.812896 	$0.932620 	$     9.97 	$     1.79 	$ 1 	$ 4   
12707 	$./bin/uniform/syr2k_STANDARD dummy.out 20 	$15678 	$1.976136 	$2280369.421053 	$22.198127 	$20.279899 	$2.817962 	$     1.10 	$     7.06 	$ 2 	$ 21   
12745 	$./bin/uniform/ft.A 	$4271 	$1.524464 	$26213843.000000 	$34.507279 	$5.849031 	$2.918509 	$     5.73 	$     2.00 	$ 1 	$ 4   
12761 	$./bin/uniform/ft.A 	$3179 	$1.446740 	$28079522.000000 	$33.152597 	$6.016515 	$2.926283 	$     5.30 	$     1.99 	$ 1 	$ 4   
12766 	$./bin/uniform/ft.A 	$3184 	$1.420937 	$-nan 	$32.311769 	$6.198954 	$2.944282 	$     5.06 	$     2.04 	$ 1 	$ 4   
12743 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$14799 	$1.664167 	$470087.444444 	$111.032627 	$1.422498 	$0.300160 	$    79.70 	$     4.86 	$ 2 	$ 20   
12750 	$./bin/uniform/syr2k_STANDARD dummy.out 20 	$15511 	$1.987856 	$2484721.055556 	$23.351378 	$21.611528 	$2.931034 	$     1.08 	$     7.28 	$ 2 	$ 20   
12772 	$./bin/uniform/ft.A 	$3163 	$1.444390 	$-nan 	$21.984030 	$4.461450 	$1.821391 	$     5.25 	$     2.49 	$ 1 	$ 6   
12792 	$./bin/uniform/ft.A 	$3152 	$0.000000 	$0.000000 	$0.000000 	$  -nan 	$0.000000 	$     0.00 	$     0.00 	$ 1 	$ 4   
12797 	$./bin/uniform/ft.A 	$3187 	$1.426411 	$-nan 	$32.538482 	$6.931573 	$2.867963 	$     4.59 	$     2.32 	$ 1 	$ 4   
12779 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$14768 	$0.000000 	$0.000000 	$0.000000 	$  -nan 	$0.000000 	$     0.00 	$     0.00 	$ 2 	$ 19   
12787 	$./bin/uniform/syr2k_STANDARD dummy.out 20 	$15599 	$0.000000 	$0.000000 	$0.000000 	$  -nan 	$0.000000 	$     0.00 	$     0.00 	$ 2 	$ 20   
12802 	$./bin/uniform/ft.A 	$3224 	$1.464543 	$-nan 	$21.721364 	$4.671086 	$1.791575 	$     4.56 	$     3.02 	$ 1 	$ 6   
12815 	$./bin/uniform/ft.A 	$3118 	$1.491659 	$28151563.000000 	$34.072510 	$5.743082 	$3.002511 	$     5.72 	$     1.89 	$ 1 	$ 4   
12823 	$./bin/uniform/ft.A 	$3183 	$1.492746 	$28077127.000000 	$34.102834 	$5.718096 	$2.997038 	$     5.74 	$     1.89 	$ 1 	$ 4   
12805 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$14857 	$0.000000 	$0.000000 	$0.000000 	$  -nan 	$0.000000 	$     0.00 	$     0.00 	$ 2 	$ 19   
12828 	$./bin/uniform/ft.A 	$3154 	$1.244733 	$-nan 	$25.515134 	$4.827419 	$2.249512 	$     5.10 	$     2.13 	$ 1 	$ 5   
12813 	$./bin/uniform/syr2k_STANDARD dummy.out 20 	$15666 	$0.000000 	$0.000000 	$0.000000 	$  -nan 	$0.000000 	$     0.00 	$     0.00 	$ 2 	$ 21   
12844 	$./bin/uniform/ft.A 	$3156 	$1.450376 	$27733217.000000 	$33.009863 	$6.110224 	$2.907374 	$     5.23 	$     2.05 	$ 1 	$ 4   
12854 	$./bin/uniform/ft.A 	$3057 	$1.124435 	$17681856.000000 	$17.348230 	$3.141132 	$1.590654 	$     5.52 	$     1.97 	$ 1 	$ 3   
12836 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$14799 	$0.000000 	$0.000000 	$0.000000 	$  -nan 	$0.000000 	$     0.00 	$     0.00 	$ 2 	$ 19   
12859 	$./bin/uniform/ft.A 	$3017 	$0.640181 	$8544422.000000 	$9.943616 	$1.995972 	$1.137275 	$     3.79 	$     1.56 	$ 1 	$ 4   
12869 	$./bin/uniform/ft.A 	$4329 	$1.551156 	$25844692.000000 	$34.411686 	$5.823013 	$2.890891 	$     5.78 	$     2.02 	$ 1 	$ 4   
12846 	$./bin/uniform/syr2k_STANDARD dummy.out 20 	$16406 	$1.884885 	$2328705.300000 	$20.528658 	$18.814263 	$2.622581 	$     1.06 	$     8.69 	$ 2 	$ 22   
12703 	$./bin/blackscholes 4 bin/in_10M.txt bsdummy 	$81514 	$-nan 	$234689.981308 	$1.142399 	$1.785646 	$0.322745 	$     0.71 	$    91.78 	$ 1 	$ 109   
12876 	$./bin/uniform/syr2k_STANDARD dummy.out 20 	$3976648588 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$     0.00 	$     0.00 	$ 2 	$ 1   
12864 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$7362 	$1.679047 	$412920.625000 	$113.114520 	$0.344865 	$0.275428 	$   354.30 	$     1.23 	$ 2 	$ 10   
12874 	$./bin/uniform/ft.A 	$133 	$-nan 	$2270552.000000 	$2.511988 	$1.297739 	$1.181284 	$     0.78 	$   136.36 	$ 1 	$ 5   
